type,id,title,thumbnails,videoCount,descriptionSnippet,subscribers,link
channel,UCGiE06cOR913YkFmUl2_rYQ,Blink For Home,"[{'url': '//yt3.ggpht.com/ytc/AAUvwniPt32nv70QwZM0j3IPmVRctR-nz7C4loniazDSOA=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwniPt32nv70QwZM0j3IPmVRctR-nz7C4loniazDSOA=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",123,"[{'text': 'Protect what matters most day or night with smart home '}, {'text': 'security cameras', 'bold': True}, {'text': "" starting at $34.99! Just Blink and you're home.""}]",9530,https://www.youtube.com/channel/UCGiE06cOR913YkFmUl2_rYQ
channel,UC3g5_wYQ_ygmUVNOUQx8LBg,SpyCameraCCTV,"[{'url': '//yt3.ggpht.com/ytc/AAUvwniNvZxmo3EO38NiynzckBp47rkTBoi2V8neO4OL=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwniNvZxmo3EO38NiynzckBp47rkTBoi2V8neO4OL=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",92,"[{'text': '... spy cameras, wired and wireless pinhole cameras, hidden and '}, {'text': 'security cameras', 'bold': True}, {'text': ', wireless transmitters, Digital Video Recorders\xa0...'}]",9430,https://www.youtube.com/channel/UC3g5_wYQ_ygmUVNOUQx8LBg
channel,UCio9_wRxvBgdmr93ZXQvZuQ,123 cctv,"[{'url': '//yt3.ggpht.com/ytc/AAUvwngaAxVb-X9zu1X1mvayR4c4u2JGW0LBVYQ6NOLV=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwngaAxVb-X9zu1X1mvayR4c4u2JGW0LBVYQ6NOLV=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",285,"[{'text': '123-CCTV.com provides in depth reviews about our CCTV and '}, {'text': 'Security Camera', 'bold': True}, {'text': ' products and surveillance video recorders.'}]",8200,https://www.youtube.com/channel/UCio9_wRxvBgdmr93ZXQvZuQ
channel,UClwJ-Sc6-HJ9-EdhxymgrcA,Milestone Systems,"[{'url': '//yt3.ggpht.com/ytc/AAUvwng1gD5qs0iRZzJ7-y2cNpcmXPohYQOSjcsIbeDd=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwng1gD5qs0iRZzJ7-y2cNpcmXPohYQOSjcsIbeDd=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",431,"[{'text': 'Founded in 1998, Milestone Systems is a global industry leader in open platform IP video management software. The XProtect®\xa0...'}]",8200,https://www.youtube.com/channel/UClwJ-Sc6-HJ9-EdhxymgrcA
channel,UCG3sIHElW1I04kcWa-qTtBA,Caught on my cctv Camera,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhylOaics1fvEDg9IqY-FWG1JlCNml35owcqCQDzw=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhylOaics1fvEDg9IqY-FWG1JlCNml35owcqCQDzw=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",53,"[{'text': 'This channel was started in late 2011 and has had many different names. It started out life in 2011 being called Tweaker Vision,\xa0...'}]",7650,https://www.youtube.com/channel/UCG3sIHElW1I04kcWa-qTtBA
channel,UCbwFM-MBCq1v_8uL6XgVMJg,Pipl Systems Security,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnggHN28m5TQYT6tp3r3zJITAvVhhDuTBlKgkJPT=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnggHN28m5TQYT6tp3r3zJITAvVhhDuTBlKgkJPT=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",166,"[{'text': 'Welcome to the Pipl Systems Channel! http://pipl.systems/ We promote the most interesting and life-useful devices in the '}, {'text': 'security', 'bold': True}, {'text': '\xa0...'}]",6920,https://www.youtube.com/channel/UCbwFM-MBCq1v_8uL6XgVMJg
channel,UC4tFesuCkSvzULWhZGihtTA,ENS Security Plainview | Professional Security System Wholesaler,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhUwQa0cN0zQ8bnJMl3G_qtm5-FrL4D4WW4QFZ5Bw=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhUwQa0cN0zQ8bnJMl3G_qtm5-FrL4D4WW4QFZ5Bw=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",371,"[{'text': 'PRODUCTS - OEM '}, {'text': 'Surveillance Cameras', 'bold': True}, {'text': ', DVRs, IP Cameras, NVRs, PTZs, Cables, and CCTV related accessories. - Brand\xa0...'}]",6610,https://www.youtube.com/channel/UC4tFesuCkSvzULWhZGihtTA
channel,UCBLscvwRh4g8ZqPHbjZgrrA,Home Security Store,"[{'url': '//yt3.ggpht.com/ytc/AAUvwngS9WrsikocE5XUE1M7Pch7AC-41RBqQCjq5o1Y=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwngS9WrsikocE5XUE1M7Pch7AC-41RBqQCjq5o1Y=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",124,"[{'text': 'Each week Home '}, {'text': 'Security', 'bold': True}, {'text': ' Store will post Product Video Reviews showcasing the latest technology in Home '}, {'text': 'Security', 'bold': True}, {'text': ', including\xa0...'}]",5920,https://www.youtube.com/channel/UCBLscvwRh4g8ZqPHbjZgrrA
channel,UCDP_w6XOTolnawsOPPcNW1A,CCTV Pros,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhBctOwBNZZidhQrurv1Zx85rS3GQrhXQmVkHsiIA=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhBctOwBNZZidhQrurv1Zx85rS3GQrhXQmVkHsiIA=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",101,"[{'text': 'CCTV', 'bold': True}, {'text': ' Pros offers an extensive collection of how to, video tutorials, and product review videos to give you the latest industry news,\xa0...'}]",5890,https://www.youtube.com/channel/UCDP_w6XOTolnawsOPPcNW1A
channel,UCQyt4DyP3LOqIjZZjfqtXrA,LTS,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnj6umwecuiNnaIyu1wDF866LIAaAKTfbhBG4tbscw=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnj6umwecuiNnaIyu1wDF866LIAaAKTfbhBG4tbscw=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",230,"[{'text': 'LT Security Inc. is a leader in video surveillance solutions in the category '}, {'text': 'surveillance cameras', 'bold': True}, {'text': ' and network video recorders.'}]",5110,https://www.youtube.com/channel/UCQyt4DyP3LOqIjZZjfqtXrA
