,type_x,id_x,title_x,publishedTime,duration,thumbnails_x,descriptionSnippet_x,link_x,shelfTitle,viewCount.text,viewCount.short,channel.name_x,channel.id_x,channel.thumbnails,channel.link_x,accessibility.title,accessibility.duration,type_y,id_y,title_y,thumbnails_y,videoCount_x,descriptionSnippet_y,subscribers,link_y,type,id,title,videoCount_y,thumbnails,link,channel.name_y,channel.id_y,channel.link_y
0,video,sDF1fHQO42M,"Best Home Security Cameras 2021 - Outdoor, Indoor, Battery & Wired, WIFI & PoE Cameras",3 months ago,9:27,"[{'url': 'https://i.ytimg.com/vi/sDF1fHQO42M/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDe7wSfq7_e4AcAbHdqpyRnmhvqYQ', 'width': 480, 'height': 270}]","[{'text': 'Today, we are going to talk about the best '}, {'text': 'security camera', 'bold': True}, {'text': ' on its own category from outdoor, indoor, wired and wireless, battery or\xa0...'}]",https://www.youtube.com/watch?v=sDF1fHQO42M,,"165,898",165K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Best Home Security Cameras 2021 - Outdoor, Indoor, Battery & Wired, WIFI & PoE Cameras by LifeHackster 3 months ago 9 minutes, 27 seconds 165,898 views","9 minutes, 27 seconds",,,,,,,,,,,,,,,,,
1,video,bDIqxUXyNsg,"Blink Outdoor Battery Powered Security Camera Review - Unboxing, Features, Setup, Video & Audio",6 months ago,17:45,"[{'url': 'https://i.ytimg.com/vi/bDIqxUXyNsg/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLABM23fb3FU4WzZoWVedC4pZeiuaw', 'width': 480, 'height': 270}]","[{'text': 'Today, we are going to check and test out the newest WiFi '}, {'text': 'camera', 'bold': True}, {'text': ' from Blink... The Blink Outdoor. We will do the unboxing, check\xa0...'}]",https://www.youtube.com/watch?v=bDIqxUXyNsg,,"326,799",326K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Blink Outdoor Battery Powered Security Camera Review - Unboxing, Features, Setup, Video & Audio by LifeHackster 6 months ago 17 minutes 326,799 views","17 minutes, 45 seconds",,,,,,,,,,,,,,,,,
2,video,_mjL0HtTcIg,Lifehackster's Home Security Camera & Smart Home Setup Tour 2021,1 month ago,12:22,"[{'url': 'https://i.ytimg.com/vi/_mjL0HtTcIg/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDyJ5k2610YlzPwGv9WWGzqPpPPtA', 'width': 480, 'height': 270}]","[{'text': 'It is a bit late but it is time for the 2021 Home '}, {'text': 'Security Camera', 'bold': True}, {'text': ' and Smart Home Setup Tour of my home. This is mostly going to be\xa0...'}]",https://www.youtube.com/watch?v=_mjL0HtTcIg,,"26,940",26K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Lifehackster's Home Security Camera & Smart Home Setup Tour 2021 by LifeHackster 1 month ago 12 minutes, 22 seconds 26,940 views","12 minutes, 22 seconds",,,,,,,,,,,,,,,,,
3,video,cr2sCjOu3PU,"Swann 4K NVR Security Camera System Review - Unboxing, Setup, Settings, Installation, Footage",2 years ago,19:48,"[{'url': 'https://i.ytimg.com/vi/cr2sCjOu3PU/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA3lBZ3fHq5F6g-4VZpUmZyeGmwAQ', 'width': 480, 'height': 270}]","[{'text': ""Today, we will be checking and testing the Swann's 4K Ultra HD NVR PoE ""}, {'text': 'Security Camera', 'bold': True}, {'text': ' System Model#\xa0...'}]",https://www.youtube.com/watch?v=cr2sCjOu3PU,,"324,838",324K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Swann 4K NVR Security Camera System Review - Unboxing, Setup, Settings, Installation, Footage by LifeHackster 2 years ago 19 minutes 324,838 views","19 minutes, 48 seconds",,,,,,,,,,,,,,,,,
4,video,EufsVsvDVA0,Best Battery WIFI Security Camera for Color Recording at Night with Wasserstein Solar Charger Light,6 days ago,13:38,"[{'url': 'https://i.ytimg.com/vi/EufsVsvDVA0/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDAtO5R3_Sn1pENN0_tMwUZWqWgBQ', 'width': 480, 'height': 270}]","[{'text': ""Today, we are going to check out Wasserstein's 2 in 1 Solar Charger & ""}, {'text': 'Security', 'bold': True}, {'text': ' Light and will see if this light can help battery\xa0...'}]",https://www.youtube.com/watch?v=EufsVsvDVA0,,"5,046",5K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Best Battery WIFI Security Camera for Color Recording at Night with Wasserstein Solar Charger Light by LifeHackster 6 days ago 13 minutes, 38 seconds 5,046 views","13 minutes, 38 seconds",,,,,,,,,,,,,,,,,
5,video,#NAME?,"Security Camera Behind Glass Window Setup (Updated) - Wyze, EZVIZ, Ring, Eufy + Litom Solar Light",9 months ago,15:59,"[{'url': 'https://i.ytimg.com/vi/-YJpV7lnjUY/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA5LTr8da6XUM_wq_8JXoLLr0RYJw', 'width': 480, 'height': 270}]","[{'text': ""Today, I'll be doing a part 2 of my ""}, {'text': 'security camera', 'bold': True}, {'text': ' through the glass window setup. A lot of you might be living in apartments,\xa0...'}]",https://www.youtube.com/watch?v=-YJpV7lnjUY,,"57,888",57K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Security Camera Behind Glass Window Setup (Updated) - Wyze, EZVIZ, Ring, Eufy + Litom Solar Light by LifeHackster 9 months ago 15 minutes 57,888 views","15 minutes, 59 seconds",,,,,,,,,,,,,,,,,
6,video,0xxhDAouu8Q,Reolink 4K Security Camera System Review  - B800 8MP vs 4MP vs 5MP,1 year ago,16:41,"[{'url': 'https://i.ytimg.com/vi/0xxhDAouu8Q/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDflLGHrysSRr19Oxb5gQf7jpygQg', 'width': 480, 'height': 270}]","[{'text': ""Today, we are going to check out Reolink's 4K PoE NVR ""}, {'text': 'Security Camera', 'bold': True}, {'text': '... the B800 and also the their new 8 channel NVR\xa0...'}]",https://www.youtube.com/watch?v=0xxhDAouu8Q,,"143,802",143K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Reolink 4K Security Camera System Review  - B800 8MP vs 4MP vs 5MP by LifeHackster 1 year ago 16 minutes 143,802 views","16 minutes, 41 seconds",,,,,,,,,,,,,,,,,
7,video,_rlQbPMhv6w,Yi Outdoor Security Camera Installation Tips | Extending The Power Cable,3 years ago,6:32,"[{'url': 'https://i.ytimg.com/vi/_rlQbPMhv6w/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD8Nhko-UQXORzgOXSjAelilN2u6w', 'width': 480, 'height': 270}]","[{'text': 'If you have the Yi outdoor '}, {'text': 'camera', 'bold': True}, {'text': ', you realized that the USB power cable is only 10 feet which makes it limited in your installation\xa0...'}]",https://www.youtube.com/watch?v=_rlQbPMhv6w,,"65,273",65K,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Yi Outdoor Security Camera Installation Tips | Extending The Power Cable by LifeHackster 3 years ago 6 minutes, 32 seconds 65,273 views","6 minutes, 32 seconds",,,,,,,,,,,,,,,,,
8,video,eGRgZWb5zx0,"Security Camera Buyers Guide 2021 (Battery, Doorbells, PoE, NVR Packages, Person Detection)",2 months ago,12:09,"[{'url': 'https://i.ytimg.com/vi/eGRgZWb5zx0/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBCyX5VlLk7ZaZGwsrqRPUveRcUBQ', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/eGRgZWb5zx0/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCzjVkKr9kZcE7CZwGZvGYiYMvjLw', 'width': 720, 'height': 404}]","[{'text': '**As an Amazon Associate I earn a % of qualifying purchases at no cost to you.** Check out my other '}, {'text': 'security camera', 'bold': True}, {'text': ' related\xa0...'}]",https://www.youtube.com/watch?v=eGRgZWb5zx0,,"218,462",218K,The Hook Up,UC2gyzKcHbYfqoXA5xbyGXtQ,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwniBke5yAK6dKMVNG4U3iuLN0Nx1qbyJrsRDuEEcHg=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UC2gyzKcHbYfqoXA5xbyGXtQ,"Security Camera Buyers Guide 2021 (Battery, Doorbells, PoE, NVR Packages, Person Detection) by The Hook Up 2 months ago 12 minutes, 9 seconds 218,462 views","12 minutes, 9 seconds",,,,,,,,,,,,,,,,,
9,video,RWJZa-u8OWk,The BEST Wireless Battery Powered Security Camera (Ring vs. Blink vs. Arlo vs. EufyCam vs. Reolink),1 year ago,14:09,"[{'url': 'https://i.ytimg.com/vi/RWJZa-u8OWk/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLALTrBeEQsDtYnBrpCnmFjbODDxfQ', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/RWJZa-u8OWk/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD4S16aWqYvjoxpK-YkZmKExl4udg', 'width': 720, 'height': 404}]",[{'text': '**As an Amazon Associate I earn a % of qualifying purchases at no cost to you.** Visit my website: http://www.'}],https://www.youtube.com/watch?v=RWJZa-u8OWk,,"677,157",677K,The Hook Up,UC2gyzKcHbYfqoXA5xbyGXtQ,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwniBke5yAK6dKMVNG4U3iuLN0Nx1qbyJrsRDuEEcHg=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UC2gyzKcHbYfqoXA5xbyGXtQ,"The BEST Wireless Battery Powered Security Camera (Ring vs. Blink vs. Arlo vs. EufyCam vs. Reolink) by The Hook Up 1 year ago 14 minutes, 9 seconds 677,157 views","14 minutes, 9 seconds",,,,,,,,,,,,,,,,,
