type,id,title,videoCount,thumbnails,link,channel.name,channel.id,channel.link
playlist,PLyNQObjyQKwTKzRQLwpq0qCKdC9JeDsd8,Security camera tornado videos,65,"[{'url': 'https://i.ytimg.com/vi/hPANdiczXJ8/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBJbT12Nr2vP9HUZTdmS2OtR3GJ0Q', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/hPANdiczXJ8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD5h854TimWb0Lb-OdceuA-kFTnwA', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/hPANdiczXJ8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB817gdRm0wordbUeK8-a-N6laqTA', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/hPANdiczXJ8/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBJZMLZETeTmZ_-YhR2ZuRy1wXsbA', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PLyNQObjyQKwTKzRQLwpq0qCKdC9JeDsd8,Susanne Raynard,UC5Guj9Hs_B5wGn0Z572kulA,https://www.youtube.com/channel/UC5Guj9Hs_B5wGn0Z572kulA
playlist,PL3panSrIeiNKCHFwtNveda9Hd6qt2qJMT,Surveillance Camera Man,33,"[{'url': 'https://i.ytimg.com/vi/mP5ZVPwP7bg/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDgjsE7BPuSQsvvYRq-JLvfUwJjdA', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/mP5ZVPwP7bg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAH8CmubQqyXR028G_oNE_okskM8w', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/mP5ZVPwP7bg/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBEWXO5p7ZEgnhb3GkiQHuITgvuHg', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/mP5ZVPwP7bg/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAqHqA7RzRqhVTecZG0rHgMTQKHLg', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PL3panSrIeiNKCHFwtNveda9Hd6qt2qJMT,Paul Fisher,UC3Q5zBeMC05HPJhsZlk_0mA,https://www.youtube.com/channel/UC3Q5zBeMC05HPJhsZlk_0mA
playlist,PL3rWMHHaroZXtS6VQX7E_IDPa_rgW0kqf,surveillance camera stock footage,48,"[{'url': 'https://i.ytimg.com/vi/1L80HDdS7Wg/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAwIUDCtirQ5LBywHsZg8f_CCj-Xw', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/1L80HDdS7Wg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA5H-xF8jzmO-B3SJb_2PWfVBBJsg', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/1L80HDdS7Wg/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCQoxsmQhiNRD3jebn8JXya0s92BQ', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/1L80HDdS7Wg/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBpKtTpjT-r_ARWB0UJwmk5LXzGJA', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PL3rWMHHaroZXtS6VQX7E_IDPa_rgW0kqf,Thomas Weber,UC1Yhur-yShmM_t2sBFTwHIQ,https://www.youtube.com/channel/UC1Yhur-yShmM_t2sBFTwHIQ
playlist,PL43LKOwxNKVw39RY9rtFegEbMPjxvvI9i,Tornadoes Caught on Security Cameras,7,"[{'url': 'https://i.ytimg.com/vi/2BzynfzVIzg/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDNlmBd_pDXrZHky0nsBBwcC0XZkw', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/2BzynfzVIzg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDNZsd7rYWfO5rw8RcUE4F7dWDBJw', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/2BzynfzVIzg/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLC00Pnqa9wlciDX6ybxCQ6jLb2yDg', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/2BzynfzVIzg/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBglZ0B40qATYWj88ZzmXdkMslECQ', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PL43LKOwxNKVw39RY9rtFegEbMPjxvvI9i,Cameras,UCidSiu59gJUBSRITFZhf4XQ,https://www.youtube.com/channel/UCidSiu59gJUBSRITFZhf4XQ
playlist,PLc5z6UsfvE3TNErXpJ3Q3dZv9tT3SD1VJ,Security Cameras,25,"[{'url': 'https://i.ytimg.com/vi/BuUgfPtkqHM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBhbw-xP1XKJVJbisIbVMZu1nKzNQ', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/BuUgfPtkqHM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD42LNdlTVCuxjux1ChQUdsOmSRZQ', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/BuUgfPtkqHM/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCmTaBdFox-_igHp-tRbYLEe6qkvA', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/BuUgfPtkqHM/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDKZf78f2lMoXmlHPkePLdEg8QkBg', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PLc5z6UsfvE3TNErXpJ3Q3dZv9tT3SD1VJ,HomeAutomationX,UCXn_loz0TlUKarhS6sUoKVw,https://www.youtube.com/channel/UCXn_loz0TlUKarhS6sUoKVw
playlist,PLak1LBRQaLOXKfJmFVboeh2mUT1e-fDVH,Security Camera Reviews,51,"[{'url': 'https://i.ytimg.com/vi/eZFcEnLjhBQ/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDY3p8xk-PVUubFSVJOI3op9wTA1w', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/eZFcEnLjhBQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLACGoP049Ghta-SGhhAmLILjn70Zw', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/eZFcEnLjhBQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCZ7M1WSlTaZmbQCCXXZMEak2r94g', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/eZFcEnLjhBQ/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDhL4FCgKaKdt1fneIGuUb0cYGagw', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PLak1LBRQaLOXKfJmFVboeh2mUT1e-fDVH,Security.org,UC6DS1pJ0Y9UsjS5jz3cvU1g,https://www.youtube.com/channel/UC6DS1pJ0Y9UsjS5jz3cvU1g
playlist,PL3rWMHHaroZXNK8LynoxOPDrSRHhNSi7X,surveillance camera tornado,51,"[{'url': 'https://i.ytimg.com/vi/kJnb0NclO-E/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBmnT6g7MKvWxR7Rw7tJFexY0pxLQ', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/kJnb0NclO-E/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCc9nHP13rk4tAZNZDJrxbwyKDFFg', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/kJnb0NclO-E/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAwmTKG9MtaTzkCJdQlc68hIK90Iw', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/kJnb0NclO-E/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLARAWYVBGcgeR82Nx2GnXYR_4p7DQ', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PL3rWMHHaroZXNK8LynoxOPDrSRHhNSi7X,Thomas Weber,UC1Yhur-yShmM_t2sBFTwHIQ,https://www.youtube.com/channel/UC1Yhur-yShmM_t2sBFTwHIQ
playlist,PLBGtBCRAK8a0zi_ZpsrWllYpngwr-Dr9c,Security Camera,31,"[{'url': 'https://i.ytimg.com/vi/_K3-EdGKOqo/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBwNBxGCItgYBiSJgx9TaZwWGxwog', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/_K3-EdGKOqo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD3I0cuSh90OSYA56JpxgND1p8rFg', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/_K3-EdGKOqo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLANFRzqq04vfdYOXZUlJX28cu-QZQ', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/_K3-EdGKOqo/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAnh_BtYc6FMowMFeHwhBCl2uUHcQ', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PLBGtBCRAK8a0zi_ZpsrWllYpngwr-Dr9c,Shopping Tube,UCLkWP_UnXAubDiEHUiqkhGw,https://www.youtube.com/channel/UCLkWP_UnXAubDiEHUiqkhGw
playlist,PL3rWMHHaroZVllnvo5fmnKFlTkWyRA779,surveillance camera sound effect,50,"[{'url': 'https://i.ytimg.com/vi/ZL9mlHKCEh8/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCxac0-QKCf07vpcDXz7OUt9ERjHg', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/ZL9mlHKCEh8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAXMWUnfsGnj3_5fRxoyuPl9NJ8kA', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/ZL9mlHKCEh8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD7nR2RuNvIUN4cD0SBac7myrCwlw', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/ZL9mlHKCEh8/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCmZ9ntxtoTfZQt8xTlPOiAggZ-YQ', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PL3rWMHHaroZVllnvo5fmnKFlTkWyRA779,Thomas Weber,UC1Yhur-yShmM_t2sBFTwHIQ,https://www.youtube.com/channel/UC1Yhur-yShmM_t2sBFTwHIQ
playlist,PLzcNF2X-GHt2IHG1ACc48QgALpJDu63No,Cobra 63890 Security Camera System,12,"[{'url': 'https://i.ytimg.com/vi/zUfOaNc2YmY/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBvXxO3uYEIDJ-LJIkUukXG9gufkg', 'width': 168, 'height': 94}, {'url': 'https://i.ytimg.com/vi/zUfOaNc2YmY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBkxMBpoNK022-bywgzQW5rnyyaxw', 'width': 196, 'height': 110}, {'url': 'https://i.ytimg.com/vi/zUfOaNc2YmY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAcJC1E0w9aSyDdWDGSSAaII0943A', 'width': 246, 'height': 138}, {'url': 'https://i.ytimg.com/vi/zUfOaNc2YmY/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAo9G0wg_GaafBs2h-60Xh9e7iGdw', 'width': 336, 'height': 188}]",https://www.youtube.com/playlist?list=PLzcNF2X-GHt2IHG1ACc48QgALpJDu63No,Lucky Dawg Productions,UCtjNb2iTrBYWlP19zJJHJ9A,https://www.youtube.com/channel/UCtjNb2iTrBYWlP19zJJHJ9A
