type,id,title,publishedTime,duration,thumbnails,descriptionSnippet,link,shelfTitle,viewCount.text,viewCount.short,channel.name,channel.id,channel.thumbnails,channel.link,accessibility.title,accessibility.duration
video,sDF1fHQO42M,"Best Home Security Cameras 2021 - Outdoor, Indoor, Battery & Wired, WIFI & PoE Cameras",3 months ago,9:27,"[{'url': 'https://i.ytimg.com/vi/sDF1fHQO42M/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDe7wSfq7_e4AcAbHdqpyRnmhvqYQ', 'width': 480, 'height': 270}]","[{'text': 'Today, we are going to talk about the best '}, {'text': 'security camera', 'bold': True}, {'text': ' on its own category from outdoor, indoor, wired and wireless, battery or\xa0...'}]",https://www.youtube.com/watch?v=sDF1fHQO42M,,"165,898 views",165K views,LifeHackster,UCr3zseJE_oWODbaDStGIayg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnjQaJoEruXMbm_AL4_Qtv1ozMgfht6qZ9hbtYrvlQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCr3zseJE_oWODbaDStGIayg,"Best Home Security Cameras 2021 - Outdoor, Indoor, Battery & Wired, WIFI & PoE Cameras by LifeHackster 3 months ago 9 minutes, 27 seconds 165,898 views","9 minutes, 27 seconds"
video,eGRgZWb5zx0,"Security Camera Buyers Guide 2021 (Battery, Doorbells, PoE, NVR Packages, Person Detection)",2 months ago,12:09,"[{'url': 'https://i.ytimg.com/vi/eGRgZWb5zx0/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBCyX5VlLk7ZaZGwsrqRPUveRcUBQ', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/eGRgZWb5zx0/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCzjVkKr9kZcE7CZwGZvGYiYMvjLw', 'width': 720, 'height': 404}]","[{'text': '**As an Amazon Associate I earn a % of qualifying purchases at no cost to you.** Check out my other '}, {'text': 'security camera', 'bold': True}, {'text': ' related\xa0...'}]",https://www.youtube.com/watch?v=eGRgZWb5zx0,,"218,462 views",218K views,The Hook Up,UC2gyzKcHbYfqoXA5xbyGXtQ,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwniBke5yAK6dKMVNG4U3iuLN0Nx1qbyJrsRDuEEcHg=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UC2gyzKcHbYfqoXA5xbyGXtQ,"Security Camera Buyers Guide 2021 (Battery, Doorbells, PoE, NVR Packages, Person Detection) by The Hook Up 2 months ago 12 minutes, 9 seconds 218,462 views","12 minutes, 9 seconds"
video,hgwiLS7iY2o,"Live security cameras Tampa Bay, Florida",,,"[{'url': 'https://i.ytimg.com/vi/hgwiLS7iY2o/hq720_live.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDV1uvb3SwRmzmI_n9jD31cFZnsPA', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/hgwiLS7iY2o/hq720_live.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD96uRYNXD2rcJ50_9sC3zrKT7ulQ', 'width': 720, 'height': 404}]",,https://www.youtube.com/watch?v=hgwiLS7iY2o,,,,Jude And Jane,UCoKMpgVBuBdrkxOxZvY-kMw,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnhJiZyqYoI33zsNHR1dfTw_NAHmUZjnJvo3Zbr_FA=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCoKMpgVBuBdrkxOxZvY-kMw,"Live security cameras Tampa Bay, Florida by Jude And Jane 92 views",
video,4qnfGdCpSXE,Top 5 Best Outdoor Security Camera of [2021],1 month ago,10:04,"[{'url': 'https://i.ytimg.com/vi/4qnfGdCpSXE/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAsHmC5X9aQQCr862153lLQR56uvA', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/4qnfGdCpSXE/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBWK-HJLo_KXuztPG2J0imOfz882Q', 'width': 720, 'height': 404}]","[{'text': 'Top 5 Best Outdoor '}, {'text': 'Security Camera', 'bold': True}, {'text': ' of [2021] ➜ Links to the Best Outdoor '}, {'text': 'Security Cameras', 'bold': True}, {'text': ' 2021 we listed in this video: ▻US\xa0...'}]",https://www.youtube.com/watch?v=4qnfGdCpSXE,,"12,204 views",12K views,Top 5 Picks,UC4pMULJwfSW1EeUmDYX8KPw,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwniaO-iCDYSgkNgc2Q0oVeC1WhO1_Ob962cNaTa17g=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UC4pMULJwfSW1EeUmDYX8KPw,"Top 5 Best Outdoor Security Camera of [2021] by Top 5 Picks 1 month ago 10 minutes, 4 seconds 12,204 views","10 minutes, 4 seconds"
video,FEFeNeLJbpk,5 Best Outdoor Security Camera in 2020,1 year ago,12:06,"[{'url': 'https://i.ytimg.com/vi/FEFeNeLJbpk/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCTi1TUzXAOvAgLjGcRCcIwE5u3Fg', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/FEFeNeLJbpk/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDgiZBV47ZZQU0y4eK3Mi30SNxWDg', 'width': 720, 'height': 404}]","[{'text': ""Whether you're at the office, a week-long conference trip, or a month vacay in Santorini, you want to keep an eye on your home.""}]",https://www.youtube.com/watch?v=FEFeNeLJbpk,,"430,072 views",430K views,The 5 Best,UCAck0HpgcjlxGc82RTAf7hA,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwngTXolnBvjEJ9nV2mgxFetggixiH_1Qy39xKNQb=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCAck0HpgcjlxGc82RTAf7hA,"5 Best Outdoor Security Camera in 2020 by The 5 Best 1 year ago 12 minutes, 6 seconds 430,072 views","12 minutes, 6 seconds"
video,CkVJyAKwByw,CAUGHT IN THE ACT | Funniest Security Camera Fails 😂,1 year ago,10:12,"[{'url': 'https://i.ytimg.com/vi/CkVJyAKwByw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD10GtVN2M2C72bAEEcJJ7GUMGqnQ', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/CkVJyAKwByw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAWEbAtQXfZi5N71DUhx2c2OCkbyQ', 'width': 720, 'height': 404}]","[{'text': 'She LEFT HER CAR RUNNING? Hey peaches, I have some #funny '}, {'text': 'security camera', 'bold': True}, {'text': ' #fails for you all today (Changing it up just\xa0...'}]",https://www.youtube.com/watch?v=CkVJyAKwByw,,"1,687,158 views",1.6M views,PEACHY,UCO8fQqYM_EeHxiGYONWt-fg,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwngrYUB9LJoTZcD_mX1EG2tx6Y0jmsxzJX5DuhMr1Q=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCO8fQqYM_EeHxiGYONWt-fg,"CAUGHT IN THE ACT | Funniest Security Camera Fails 😂 by PEACHY 1 year ago 10 minutes, 12 seconds 1,687,158 views","10 minutes, 12 seconds"
video,2aQE62wtj5g,Caught On Security Camera 12 Foot SKELETON Inside Tannerites HOUSE While Playing Hide N Seek!,4 months ago,11:58,"[{'url': 'https://i.ytimg.com/vi/2aQE62wtj5g/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD8SCZYsLc7PXxp-AlxTbFcKpCPtA', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/2aQE62wtj5g/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAdo0EqqMF1NerYSmSVhj18u7FQ1A', 'width': 720, 'height': 404}]","[{'text': 'Lizzy, Savannah, and Azbuy played Hide N Seek in the house when Lizzy decided to check the '}, {'text': 'security', 'bold': True}, {'text': ' footage to see where Az\xa0...'}]",https://www.youtube.com/watch?v=2aQE62wtj5g,,"25,708,285 views",25M views,Tannerites,UCUvEpOhD1BYa6J2dPZbEtTw,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwngzKlrvtHJiX9czlVLmjNeHg1ZCYkA5Kvc2acq-OA=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCUvEpOhD1BYa6J2dPZbEtTw,"Caught On Security Camera 12 Foot SKELETON Inside Tannerites HOUSE While Playing Hide N Seek! by Tannerites 4 months ago 11 minutes, 58 seconds 25,708,285 views","11 minutes, 58 seconds"
video,osNnMjEhmZw,"How To Plan, Run Wires, & Setup a WIRED PoE Camera System! || Reolink 8CH 5MP System Review",6 months ago,19:04,"[{'url': 'https://i.ytimg.com/vi/osNnMjEhmZw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAAllvJJs3BqOxx8ZH-cNjB2Yhkuw', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/osNnMjEhmZw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDTPPxwT4HW0w2Qhqq8wHSTxnrF6g', 'width': 720, 'height': 404}]","[{'text': '... many cameras are needed, running wires, and setting up a wired NVR '}, {'text': 'security camera', 'bold': True}, {'text': ' system WITHOUT DAMAGING a home!'}]",https://www.youtube.com/watch?v=osNnMjEhmZw,,"255,798 views",255K views,Carson Miller,UCJesHlByPQRfYP7a6Zn_m2A,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwngHtx1iqHxbt7G2sxJmzgx3KM_0StDtDSJWGZgZ1A=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCJesHlByPQRfYP7a6Zn_m2A,"How To Plan, Run Wires, & Setup a WIRED PoE Camera System! || Reolink 8CH 5MP System Review by Carson Miller 6 months ago 19 minutes 255,798 views","19 minutes, 4 seconds"
video,p088HZ36nF8,NEW BLINK OUTDOOR 📷📷📷 battery security camera | best review 2020,4 months ago,9:29,"[{'url': 'https://i.ytimg.com/vi/p088HZ36nF8/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDQj_f84gnlff0ekAQraj8w399jsQ', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/p088HZ36nF8/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCBjguBuacDOeaEETEaR6Axo6sk9w', 'width': 720, 'height': 404}]","[{'text': 'IF YOU ARE CONSDIERING BUYING THIS '}, {'text': 'CAMERA', 'bold': True}, {'text': ' - YOU MUST WATCH! In this video KiteArmy reviews the brand new 2020\xa0...'}]",https://www.youtube.com/watch?v=p088HZ36nF8,,"69,494 views",69K views,Kite Army,UCBdU3RnQitpdwYls-AXtkfw,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwniZuqsS-7GASMlrwjYHHd4c6A2FJDSuqg3V8KleaA=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCBdU3RnQitpdwYls-AXtkfw,"NEW BLINK OUTDOOR 📷📷📷 battery security camera | best review 2020 by Kite Army 4 months ago 9 minutes, 29 seconds 69,494 views","9 minutes, 29 seconds"
video,_Gjg2BlqdFA,✅ Best Outdoor Security Cameras 👌 Top 7 Outdoor Security Camera Picks | 2021 Review,1 month ago,5:35,"[{'url': 'https://i.ytimg.com/vi/_Gjg2BlqdFA/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBFIwwOVUaCcO4lEs1vFrw-QIjUSw', 'width': 360, 'height': 202}, {'url': 'https://i.ytimg.com/vi/_Gjg2BlqdFA/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBn7NwreA55yxhLVmeeNCrI5Hrn9Q', 'width': 720, 'height': 404}]","[{'text': ""Hey guys, if you're here, it means that you probably take home ""}, {'text': 'security', 'bold': True}, {'text': ' very seriously. Well today we have some fantastic options\xa0...'}]",https://www.youtube.com/watch?v=_Gjg2BlqdFA,,"6,083 views",6K views,Consumer Buddy,UCMVSVjx5SjGWlLoF3m8feRw,"[{'url': 'https://yt3.ggpht.com/ytc/AAUvwnhUcMtL7opvXdVJQ8kDj_KhS6XEb_PLnRhHGhQ=s68-c-k-c0x00ffffff-no-rj', 'width': 68, 'height': 68}]",https://www.youtube.com/channel/UCMVSVjx5SjGWlLoF3m8feRw,"✅ Best Outdoor Security Cameras 👌 Top 7 Outdoor Security Camera Picks | 2021 Review by Consumer Buddy 1 month ago 5 minutes, 35 seconds 6,083 views","5 minutes, 35 seconds"
